id,created_at,temperature,humidity,mq,dust,chat_luong,anomaly
1,2025-03-18 12:00:00,30.5,65.0,450.0,42.5,Ổn,-1
2,2025-03-18 12:05:00,29.8,66.0,440.0,43.0,Ổn,-1
3,2025-03-18 12:10:00,29.9,67.0,435.0,40.0,Ổn,1
4,2025-03-18 12:15:00,30.1,68.0,430.0,39.5,Ổn,1
5,2025-03-18 12:20:00,30.3,69.0,420.0,38.0,Ổn,1
6,2025-03-18 12:25:00,30.5,70.0,415.0,36.5,Tốt,1
7,2025-03-18 12:30:00,30.7,71.0,410.0,35.0,Tốt,1
8,2025-03-18 12:35:00,31.0,72.0,400.0,33.0,Tốt,1
9,2025-03-18 12:40:00,31.2,73.0,395.0,31.5,Tốt,1
10,2025-03-18 12:45:00,31.5,74.0,390.0,30.0,Tốt,1
11,2025-03-18 12:50:00,31.8,75.0,380.0,28.5,Tốt,1
12,2025-03-18 12:55:00,32.0,76.0,375.0,27.5,Tốt,1
13,2025-03-18 13:00:00,32.3,77.0,370.0,26.0,Tốt,1
14,2025-03-18 13:05:00,32.5,78.0,365.0,24.5,Tốt,1
15,2025-03-18 13:10:00,32.8,79.0,360.0,23.0,Tốt,1
16,2025-03-18 13:15:00,33.0,80.0,355.0,21.5,Tốt,1
17,2025-03-18 13:20:00,33.2,81.0,350.0,20.0,Tốt,1
18,2025-03-18 13:25:00,33.5,82.0,345.0,18.5,Tốt,1
19,2025-03-18 13:30:00,33.7,83.0,340.0,17.0,Tốt,1
20,2025-03-18 13:35:00,34.0,84.0,335.0,15.5,Tốt,1
21,2025-03-18 13:40:00,34.2,85.0,330.0,14.0,Tốt,1
22,2025-03-18 13:45:00,34.5,86.0,325.0,12.5,Tốt,1
23,2025-03-18 13:50:00,34.8,87.0,320.0,11.0,Tốt,1
24,2025-03-18 13:55:00,35.0,88.0,315.0,9.5,Tốt,1
25,2025-03-18 14:00:00,35.2,89.0,310.0,8.0,Tốt,1
26,2025-03-18 14:05:00,35.5,90.0,305.0,6.5,Tốt,1
27,2025-03-18 14:10:00,35.7,91.0,300.0,5.0,Tốt,1
28,2025-03-18 14:15:00,36.0,92.0,295.0,3.5,Tốt,1
29,2025-03-18 14:20:00,36.2,93.0,290.0,2.0,Tốt,1
30,2025-03-18 14:25:00,36.5,94.0,285.0,1.0,Tốt,1
31,2025-03-18 14:30:00,36.7,95.0,280.0,0.5,Tốt,1
32,2025-03-18 14:35:00,37.0,96.0,275.0,0.0,Tốt,1
33,2025-03-18 14:40:00,37.2,97.0,270.0,0.0,Tốt,1
34,2025-03-18 14:45:00,37.5,98.0,265.0,0.0,Tốt,-1
35,2025-03-18 14:50:00,37.7,99.0,260.0,0.0,Tốt,-1
36,2025-03-18 14:55:00,38.0,100.0,255.0,0.0,Tốt,-1
37,2025-03-18 15:00:00,38.61268906722987,90.0,300.0,10.0,Tốt,1
38,2025-03-18 15:05:00,38.43223839231686,86.218361122301,319.0,10.0,Tốt,1
39,2025-03-18 15:10:00,39.60981272631436,89.39079261846315,300.0,16.5,Tốt,1
40,2025-03-18 15:15:00,39.266498768015786,90.0,300.0,16.0,Tốt,1
41,2025-03-18 15:20:00,39.90508289920966,90.0,339.0,11.0,Tốt,1
42,2025-03-18 15:25:00,40.0,90.0,377.0,14.0,Tốt,1
43,2025-03-18 15:30:00,40.0,87.52836552659836,402.0,22.0,Tốt,1
44,2025-03-18 15:35:00,40.0,90.0,401.0,18.5,Tốt,1
45,2025-03-18 15:40:00,40.0,85.17536553663783,384.0,22.5,Tốt,1
46,2025-03-18 15:45:00,39.8283522044345,87.46312818628,391.0,19.5,Tốt,1
47,2025-03-18 15:50:00,38.78119430535981,84.6198493735673,349.0,18.5,Tốt,1
48,2025-03-18 15:55:00,37.98927294387168,80.51324106205067,303.0,22.0,Tốt,1
49,2025-03-18 16:00:00,37.93344200467222,82.57048643289207,300.0,24.5,Tốt,1
50,2025-03-18 16:05:00,37.54632099771496,84.30989943289667,305.0,28.0,Tốt,1
51,2025-03-18 16:10:00,38.11563514118468,82.93513281128925,317.0,32.5,Tốt,1
52,2025-03-18 16:15:00,38.35363958495554,82.30890736794909,311.0,34.0,Tốt,1
53,2025-03-18 16:20:00,39.04878684672016,80.246737416475,350.0,33.5,Tốt,1
54,2025-03-18 16:25:00,40.0,80.91757371710789,327.0,37.5,Ổn,1
55,2025-03-18 16:30:00,38.679451412801015,77.14603336417379,367.0,40.0,Ổn,1
56,2025-03-18 16:35:00,39.20562514367399,77.11344055997179,356.0,37.5,Ổn,1
57,2025-03-18 16:40:00,38.16525985563793,79.13445433575578,367.0,34.5,Tốt,1
58,2025-03-18 16:45:00,36.92048181696005,78.41032315289543,352.0,32.0,Tốt,1
59,2025-03-18 16:50:00,36.11188294641153,75.2908468172786,388.0,35.0,Ổn,1
60,2025-03-18 16:55:00,36.24474445887116,74.58871603343806,372.0,38.0,Ổn,1
61,2025-03-18 17:00:00,36.2678254632129,72.52549942571336,384.0,39.0,Ổn,1
62,2025-03-18 17:05:00,35.06476215224938,70.04399159835582,378.0,42.0,Ổn,1
63,2025-03-18 17:10:00,34.311604228653266,65.21873240565853,367.0,39.5,Ổn,1
64,2025-03-18 17:15:00,35.57639970238003,62.755682688372175,357.0,43.5,Ổn,1
65,2025-03-18 17:20:00,36.2104585937189,58.42510208798452,377.0,47.0,Ổn,1
66,2025-03-18 17:25:00,36.07196607308315,62.3636883224585,345.0,51.5,Ổn,1
67,2025-03-18 17:30:00,35.73619287586159,61.17417740317957,313.0,54.5,Ổn,1
68,2025-03-18 17:35:00,34.59159858920502,61.06070179634464,348.0,50.5,Ổn,1
69,2025-03-18 17:40:00,33.91399525728934,58.995117802898726,372.0,53.0,Ổn,1
70,2025-03-18 17:45:00,35.36471505071172,57.45872371213813,378.0,53.0,Ổn,1
71,2025-03-18 17:50:00,35.53093952299349,55.75300783827307,418.0,55.0,Ổn,1
72,2025-03-18 17:55:00,36.864428602308685,60.2025347993836,422.0,54.5,Ổn,1
73,2025-03-18 18:00:00,35.51009297027483,59.32201980075772,378.0,62.0,Ổn,1
74,2025-03-18 18:05:00,36.91471937074657,59.73043415711221,387.0,61.0,Ổn,1
75,2025-03-18 18:10:00,37.090352588014376,63.81195361656034,399.0,63.0,Ổn,1
76,2025-03-18 18:15:00,37.02479769346092,61.25216088063053,417.0,66.0,Ổn,-1
77,2025-03-18 18:20:00,38.23779655136653,59.73336906365847,400.0,70.5,Ổn,1
78,2025-03-18 18:25:00,37.72139498876715,56.72685404491348,362.0,76.0,ở chỉ số bụi mịn: Không ổn,1
79,2025-03-18 18:30:00,38.61030589930419,55.42303794404515,326.0,78.0,ở chỉ số bụi mịn: Không ổn,1
80,2025-03-18 18:35:00,39.400162311373016,56.20275004966776,323.0,85.0,ở chỉ số bụi mịn: Không ổn,1
81,2025-03-18 18:40:00,38.95021430040777,57.194826900152215,300.0,82.0,ở chỉ số bụi mịn: Không ổn,-1
82,2025-03-18 18:45:00,38.48862971634623,61.31059448801417,300.0,90.0,ở chỉ số bụi mịn: Không ổn,1
83,2025-03-18 18:50:00,38.10110340207315,64.04751795956228,341.0,95.5,ở chỉ số bụi mịn: Không ổn,1
84,2025-03-18 18:55:00,38.02664322586173,62.43424691307706,390.0,99.0,ở chỉ số bụi mịn: Không ổn,-1
85,2025-03-18 19:00:00,37.61291895875063,66.95788139368497,350.0,100.5,ở chỉ số bụi mịn: Không ổn,1
86,2025-03-18 19:05:00,38.07717753268231,62.243970413253926,317.0,95.5,ở chỉ số bụi mịn: Không ổn,1
87,2025-03-18 19:10:00,37.29861059056845,62.04948367333977,318.0,101.5,ở chỉ số bụi mịn: Không ổn,1
88,2025-03-18 19:15:00,36.54085677335645,62.01913170566347,300.0,105.0,ở chỉ số bụi mịn: Không ổn,1
89,2025-03-18 19:20:00,37.04284263969206,58.07934975531531,300.0,106.5,ở chỉ số bụi mịn: Không ổn,1
90,2025-03-18 19:25:00,35.63059189528184,57.46096334160185,300.0,99.0,ở chỉ số bụi mịn: Không ổn,1
91,2025-03-18 19:30:00,35.261994677757976,61.10689763955389,300.0,104.5,ở chỉ số bụi mịn: Không ổn,1
92,2025-03-18 19:35:00,35.68025652592549,59.296461550557005,334.0,99.0,ở chỉ số bụi mịn: Không ổn,1
93,2025-03-18 19:40:00,36.054250805527,61.85676978492433,370.0,104.5,ở chỉ số bụi mịn: Không ổn,-1
94,2025-03-18 19:45:00,36.88700616256792,58.92518778323174,332.0,105.0,ở chỉ số bụi mịn: Không ổn,1
95,2025-03-18 19:50:00,37.64488963700854,56.97655205428947,332.0,106.5,ở chỉ số bụi mịn: Không ổn,1
